Frequency,Precision,Power,Execution Time,Throughput,Energy/op,GOPs/mm2
500000000,2bx2b,0.000115,6.27e-05,318979266.34768736,0.3605250000000001,591.8940250587616
500000000,4bx4b,0.000272,6.27e-05,318979266.34768736,0.85272,591.8940250587616
500000000,8bx8b,0.000257,0.000212,94339622.64150943,2.7242000000000006,175.05544986407716
514000000,2bx2b,0.000116,6.081e-05,328893274.132544,0.352698,610.2903366417424
514000000,4bx4b,0.000277,6.081e-05,328893274.132544,0.8422185000000001,610.2903366417424
514000000,8bx8b,0.000267,0.00020564000000000002,97257342.92939116,2.7452940000000003,180.46953594234756
528000000,2bx2b,0.000122,5.9250000000000004e-05,337552742.61603373,0.361425,626.3587404419301
528000000,4bx4b,0.000284,5.9250000000000004e-05,337552742.61603373,0.8413500000000002,626.3587404419301
528000000,8bx8b,0.000272,0.00020034,99830288.5095338,2.7246239999999995,185.24386229002874
542000000,2bx2b,0.000124,5.7680000000000003e-05,346740638.0027739,0.357616,643.4076867403668
542000000,4bx4b,0.000293,5.7680000000000003e-05,346740638.0027739,0.8450120000000001,643.4076867403668
542000000,8bx8b,0.000282,0.00019504,102543068.08859721,2.7500640000000005,190.27766289573606
556000000,2bx2b,0.000127,5.643e-05,354421407.052986,0.3583305,657.6600278430686
556000000,4bx4b,0.000303,5.643e-05,354421407.052986,0.8549144999999999,657.6600278430686
556000000,8bx8b,0.000287,0.0001908,104821802.93501048,2.73798,194.50605540453017
570000000,2bx2b,0.000131,5.486e-05,364564345.60699964,0.35933300000000007,676.481140561144
570000000,4bx4b,0.00031,5.486e-05,364564345.60699964,0.8503299999999999,676.481140561144
570000000,8bx8b,0.000295,0.0001855,107816711.59029649,2.7361250000000004,200.063371273231
